playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Sam Tuivailala,SEA,AL,5,0,1,1,0,0,0,0,0,17,17,0,8,2,7,16,592815,13485,0,5,RP
Tyler Kinley,MIA,NL,9,0,1,2,0,0,0,0,0,43,39,0,22,5,23,48,641755,18297,0,9,RP
Jared Hughes,CIN,NL,72,0,3,3,0,0,0,0,0,67,64,0,26,6,24,52,453172,9325,0,72,RP
Robert Gsellman,NYM,NL,68,0,4,3,0,0,0,0,0,70,69,0,32,7,23,58,607229,13696,0,68,RP|SP
Austin Pruitt,TB,AL,23,0,3,2,0,0,0,0,0,47,48,0,21,6,11,38,643493,15290,0,23,RP
Justin Anderson,LAA,AL,57,0,3,3,0,0,0,0,0,59,52,0,27,6,35,66,605121,16201,0,57,RP
Bud Norris,STL,NL,64,0,2,4,0,0,0,0,0,54,50,0,25,8,22,60,502032,9492,0,64,SP
Bruce Rondon,CWS,AL,35,0,2,2,0,0,0,0,0,25,24,0,16,3,17,32,541652,5766,0,35,RP
Caleb Smith,MIA,NL,16,20,6,9,0,0,0,0,0,110,100,0,50,15,44,115,592761,14875,16,0,Relief Pitcher
Jacob Rhame,NYM,NL,30,0,1,1,0,0,0,0,0,17,16,0,8,3,6,18,642008,15267,0,30,RP
Taylor Williams,MIL,NL,56,0,1,2,0,0,0,0,0,42,41,0,20,5,19,45,592865,14899,0,56,RP
Cole Hamels,CHC,NL,12,30,12,9,0,0,0,0,0,180,166,0,77,22,64,173,430935,4972,12,0,SP
Ryan Buchter,OAK,AL,54,0,3,2,0,0,0,0,0,50,42,0,21,6,20,53,488748,9456,0,54,RP
