playerName,teamLong,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Armando Rivero,Cubs,CHC,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,,sa739701,0,0,
Jon Edwards,Padres,SDP,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,457754,1483,0,0,RP
Zach Phillips,Pirates,PIT,NL,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,452061,99,0,8,RP
Joe Blanton,Nationals,WSN,NL,75,0,3,3,0,0,0,0,0,55,53,0,23,7,16,54,430599,4849,0,75,RP|SP
Luke Hochevar,,,,40,0,2,2,0,0,0,0,0,45,40,0,19,5,15,48,460024,6943,0,40,RP|SP
Robbie Ross Jr.,Red Sox,BOS,AL,54,0,3,2,0,0,0,0,0,55,52,0,22,5,20,51,543726,6819,0,54,RP
Tyler Skaggs,Angels,ANA,AL,10,24,9,7,0,0,0,0,0,136,123,0,54,15,47,134,572140,10190,10,0,SP
Jacob Rhame,Dodgers,LAD,NL,10,0,1,0,0,0,0,0,0,10,9,0,4,1,4,11,,sa737837,0,0,
Jarrett Grube,Angels,ANA,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,459439,7553,0,0,RP
Brad Brach,Orioles,BAL,AL,71,0,3,2,0,0,0,0,0,55,48,0,23,7,22,62,542960,6627,0,71,RP
Zack Weiss,Reds,CIN,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa548466,0,0,
Kyle Mcgrath,Padres,SDP,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa829726,0,0,
Josh Osich,Giants,SFG,NL,59,0,2,2,0,0,0,0,0,40,36,0,16,3,18,38,592612,11528,0,59,RP
Cory Luebke,Pirates,PIT,NL,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,458537,1984,0,9,RP
Carlos Frias,Dodgers,LAD,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,516910,3547,0,1,SP|RP
Marc Rzepczynski,Mariners,SEA,AL,56,0,2,2,0,0,0,0,0,45,42,0,17,4,19,42,519240,6612,0,56,RP
Yimi Garcia,Dodgers,LAD,NL,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,554340,12095,0,9,RP
Hector Neris,Phillies,PHI,NL,79,0,3,3,0,0,0,0,0,65,56,0,27,7,26,73,593576,11804,0,79,RP
Danny Barnes,Blue Jays,TOR,AL,12,0,2,1,0,0,0,0,0,30,27,0,12,4,10,30,592130,11388,0,12,RP
Daniel Hudson,Pirates,PIT,NL,70,0,3,3,0,0,0,0,0,65,62,0,27,7,23,62,543339,7146,0,70,RP|SP
A.J. Ramos,Marlins,FLA,NL,67,0,3,3,0,0,0,0,0,65,56,0,26,6,31,70,573109,8350,0,67,RP
Oliver Drake,Orioles,BAL,AL,14,0,2,1,0,0,0,0,0,30,26,0,12,3,13,34,543118,8823,0,14,RP
Ross Stripling,Dodgers,LAD,NL,22,2,3,3,0,0,0,0,0,54,53,0,22,6,15,47,548389,13273,14,8,SP
Aaron Poreda,Rangers,TEX,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,519145,4313,0,0,RP
Kenta Maeda,Dodgers,LAD,NL,35,26,10,8,0,0,0,0,0,148,140,0,61,18,39,139,628317,18498,32,0,SP
Zack Greinke,Diamondbacks,ARI,NL,27,29,11,10,0,0,0,0,0,186,183,0,78,22,46,162,425844,1943,26,0,SP
Miguel Socolovich,Cardinals,STL,NL,15,0,1,1,0,0,0,0,0,30,28,0,13,3,11,29,462515,6697,0,15,RP
Edubray Ramos,Phillies,PHI,NL,42,0,2,2,0,0,0,0,0,45,41,0,19,5,14,46,591693,16086,0,42,RP
Jonathan Broxton,Cardinals,STL,NL,66,0,2,2,0,0,0,0,0,45,43,0,19,4,17,42,455009,4759,0,66,RP
Aaron Loup,Blue Jays,TOR,AL,21,0,2,2,0,0,0,0,0,40,37,0,16,4,14,37,571901,10343,0,21,RP
Rafael De Paula,Padres,SDP,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa657482,0,0,
Duane Below,Marlins,FLA,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,502102,3124,0,0,RP
Matt Bowman,Cardinals,STL,NL,59,0,2,2,0,0,0,0,0,35,36,0,15,3,11,27,621199,13528,0,59,RP
Jamey Wright,Dodgers,LAD,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,124604,715,0,0,RP
Leonel Campos,Padres,SDP,NL,18,0,2,2,0,0,0,0,0,35,30,0,14,3,18,39,599998,12277,0,18,RP
Timothy Peterson,Mets,NYM,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa658510,0,0,
Onelki Garcia,Dodgers,LAD,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,607162,13674,0,0,RP
Mike Montgomery,Cubs,CHC,NL,17,13,7,5,0,0,0,0,0,103,96,0,41,9,40,94,543557,4869,5,12,RP
Hyun-Jin Ryu,Dodgers,LAD,NL,1,8,3,3,0,0,0,0,0,46,46,0,19,5,11,37,547943,14444,1,0,SP
Jerry Blevins,Mets,NYM,NL,73,0,2,2,0,0,0,0,0,45,41,0,18,5,17,47,460283,7841,0,73,RP
Jake Diekman,Rangers,TEX,AL,66,0,1,1,0,0,0,0,0,25,22,0,10,2,12,27,518617,5003,0,66,RP
Chase Whitley,Rays,TBD,AL,5,0,2,2,0,0,0,0,0,35,33,0,14,4,10,32,595032,10982,1,4,SP
Blake Wood,Reds,CIN,NL,70,0,2,2,0,0,0,0,0,45,39,0,18,4,21,49,502028,1345,0,70,RP
Jordan Jankowski,Astros,HOU,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa658942,0,0,
Tyler Glasnow,Pirates,PIT,NL,7,18,6,6,0,0,0,0,0,99,87,0,42,9,52,110,607192,14374,4,3,SP
Dario Alvarez,Rangers,TEX,AL,16,0,2,1,0,0,0,0,0,30,26,0,12,4,13,35,516714,14239,0,16,RP
Joakim Soria,Royals,KCR,AL,70,0,3,3,0,0,0,0,0,65,60,0,27,7,23,61,465657,6941,0,70,RP
